Question,Intent,Answer
When should I return for follow-up?,follow_up,"Usually within 2 weeks, or as advised by your doctor."
Do I need another scan after my treatment?,follow_up,Follow-up imaging may be required  toassess progress.
How often should I get my thyroid levels checked?,follow_up,"Typically every 6 to12 months, or more if needed."
When can I remove stitches after surgery?,follow_up,Usually 7 to14 days after surgery depending on the area.
Should I come back after finishing my antibiotics?,follow_up,"Yes,  toensure the infection has cleared."
Do I need follow-up after a COVID-19 infection?,follow_up,"Yes, especially after severe symptoms."
How frequently should I monitor my blood pressure?,follow_up,Daily if uncontrolled; follow doctor's advice.
Should I get re-tested after a positive diagnosis?,follow_up,"Yes,  toconfirm recovery or check response."
Will I need physiotherapy after surgery?,follow_up,"Often yes, especially for orthopedic surgeries."
Do children require follow-ups after vaccination?,follow_up,"Yes,  toensure no side effects and track schedule."
What does an MRI scan show?,test_inquiry,"It shows detailed images of soft tissues, brain, and spine."
Is ultrasound safe during pregnancy?,test_inquiry,"Yes, it's routinely used and completely safe."
Why do I need a CT scan?,test_inquiry,It provides detailed cross-sectional images of your body.
How is a blood sugar test done?,test_inquiry,A small blood sample is tested for glucose.
What does a lipid profile test show?,test_inquiry,It measures cholesterol and triglyceride levels.
Do I need  tofast for an ultrasound?,test_inquiry,"Yes, in some cases like abdominal scans."
What is a biopsy?,test_inquiry,A tissue sample taken for diagnostic analysis.
Why do I need a urine test?,test_inquiry," tocheck for infection, kidney health, or glucose."
Can I eat before an ECG?,test_inquiry,"Yes, ECG doesnot require fasting."
How long does it take  toget lab test results?,test_inquiry,Usually 24 to48 hours depending on the test.
What should I do if someone faints?,emergency,"Lay them down, raise legs, and seek help if needed."
"I accidentally took double my dose, what now?",emergency,Seek medical attention or call poison control.
What are signs of a heart attack?,emergency,"Chest pain, sweating, nausea, and shortness of breath."
What  todo if a child has a high fever?,emergency,Use fever medicine and seek medical care.
Is a sudden severe headache an emergency?,emergency,"Yes, it could indicate something serious."
What  todo in case of a seizure?,emergency,"Keep person safe, donot restrain, call emergency."
Can allergies cause emergencies?,emergency,"Yes, anaphylaxis requires immediate EpiPen use."
"I cut myself badly, should I go  tothe ER?",emergency,"Yes, especially if itos deep or wonot stop bleeding."
"My child swallowed a battery, what should I do?",emergency,Go  tothe emergency room immediately.
Is severe vomiting an emergency?,emergency,"Yes, if itos persistent or with signs of dehydration."
How often should adults get a health checkup?,general_health,"Annually, or more often with chronic issues."
What vaccines do adults need?,general_health,"Flu, tetanus, shingles, COVID-19 depending on age."
How can I boost my immune system?,general_health,"Eat well, rest, reduce stress, and stay active."
Is it okay  totake multivitamins daily?,general_health,"Yes, if recommended for nutritional gaps."
Should I be concerned about high BMI?,general_health,"Yes, it can indicate higher health risks."
How do I prevent seasonal flu?,general_health,Get vaccinated and practice hygiene.
When should I start cancer screenings?,general_health,"Usually from age 40 to50, earlier if at risk."
What is the normal blood pressure range?,general_health,Around 120/80 mmHg.
Are regular dental check-ups necessary?,general_health,"Yes, ideally every 6 months."
Is being underweight a health concern?,general_health,"Yes, it may indicate poor nutrition or illness."
Can I take ibuprofen with paracetamol?,medication_inquiry,"Yes, they can be taken together but follow dosage instructions."
What are the side effects of antibiotics?,medication_inquiry,"Common side effects include nausea, diarrhea, and rash."
How should I store my insulin?,medication_inquiry,Store unopened insulin in the refrigerator and opened at room temperature.
Can I drink alcohol while taking antibiotics?,medication_inquiry,It depends on the antibiotic; ask your doctor.
What should I do if I miss a dose?,medication_inquiry,Take it as soon as you remember unless it's almost time for the next dose.
Is it safe  totake paracetamol during pregnancy?,pregnancy,"Yes, paracetamol is generally safe under medical advice."
What should I avoid eating during pregnancy?,pregnancy,"Avoid raw fish, unpasteurized cheese, and high mercury fish."
How much weight should I gain during pregnancy?,pregnancy,Typically 11 to16 kg for a normal BMI.
Can I exercise while pregnant?,pregnancy,"Yes, moderate exercise like walking is recommended."
What are the signs of labor?,pregnancy,"Regular contractions, water breaking, and lower back pain."
When should a baby get their first vaccine?,child_health,"At birth, usually BCG and Hepatitis B."
Is fever after vaccination normal in babies?,child_health,"Yes, mild fever is common."
What is the normal weight for a newborn?,child_health,Between 2.5 kg and 4 kg.
How often should I feed my newborn?,child_health,Every 2 to3 hours.
Can teething cause fever?,child_health,Mild temperature rise can occur but not high fever.
How much sleep do adults need?,lifestyle,7 to9 hours per night is ideal.
Is walking enough for daily exercise?,lifestyle,"Yes, 30 minutes of brisk walking is beneficial."
How much water should I drink daily?,lifestyle,Around 2 to3 liters depending on body and climate.
Are energy drinks safe?,lifestyle,"In moderation, but frequent use can cause health problems."
How  tomanage work stress?,lifestyle,"Try meditation, breaks, time management, and counseling."
Is intermittent fasting safe?,diet_nutrition,It can be safe if done correctly; consult a doctor.
How much protein do I need daily?,diet_nutrition,About 0.8g per kg of body weight for average adults.
What foods help lower cholesterol?,diet_nutrition,"Oats, nuts, fruits, and vegetables."
Can I have dairy if I'm lactose intolerant?,diet_nutrition,"Yes, lactose-free or plant-based alternatives work."
Is a vegan diet healthy?,diet_nutrition,"Yes, if well-balanced with all nutrients covered."
What causes acne?,dermatology,"Hormonal changes, stress, and oily skin can contribute  toacne."
Is dandruff a sign of poor hygiene?,dermatology,"No, it is usually caused by a dry scalp or yeast."
How do I treat eczema?,dermatology,Use moisturizers and topical steroids; avoid irritants.
Are moles dangerous?,dermatology,"Most are harmless, but changes in shape or color should be checked."
What helps with dry skin?,dermatology,Moisturize frequently and avoid hot showers.
What are symptoms of depression?,mental_health,"Persistent sadness, loss of interest, and fatigue."
How do I manage anxiety?,mental_health,"Practice deep breathing, exercise, or therapy."
Is therapy helpful for stress?,mental_health,"Yes, therapy provides strategies  tomanage stress."
Can I take antidepressants long-term?,mental_health,"Yes, under medical supervision."
How  toimprove sleep for mental health?,mental_health,"Maintain a routine, limit screens, and avoid caffeine."
Is irregular menstruation normal?,womens_health,"Occasionally yes, but chronic irregularity needs evaluation."
What is PCOS?,womens_health,A hormonal disorder affecting ovulation and menstruation.
